Date,DJIA
1994-07-11,3702.98999
1994-07-12,3702.659912
1994-07-13,3704.280029
1994-07-14,3739.25
1994-07-15,3753.810059
1994-07-18,3755.429932
1994-07-19,3748.310059
1994-07-20,3727.27002
1994-07-21,3732.449951
1994-07-22,3735.040039
1994-07-25,3741.840088
1994-07-26,3735.679932
1994-07-27,3720.469971
1994-07-28,3730.830078
1994-07-29,3764.5
1994-08-01,3798.169922
1994-08-02,3796.219971
1994-08-03,3792.659912
1994-08-04,3765.790039
1994-08-05,3747.02002
1994-08-08,3753.810059
1994-08-09,3755.76001
1994-08-10,3766.76001
1994-08-11,3750.899902
1994-08-12,3768.709961
1994-08-15,3760.290039
1994-08-16,3784.570068
1994-08-17,3776.47998
1994-08-18,3755.429932
1994-08-19,3755.110107
1994-08-22,3751.219971
1994-08-23,3775.830078
1994-08-24,3846.72998
1994-08-25,3829.889893
1994-08-26,3881.050049
1994-08-29,3898.850098
1994-08-30,3917.300049
1994-08-31,3913.419922
1994-09-01,3901.439941
1994-09-02,3885.580078
1994-09-06,3898.699951
1994-09-07,3886.25
1994-09-08,3908.459961
1994-09-09,3874.810059
1994-09-12,3860.340088
1994-09-13,3879.860107
1994-09-14,3895.330078
1994-09-15,3953.879883
1994-09-16,3933.350098
1994-09-19,3936.719971
1994-09-20,3869.090088
1994-09-21,3851.600098
1994-09-22,3837.129883
1994-09-23,3831.75
1994-09-26,3849.23999
1994-09-27,3863.040039
1994-09-28,3878.179932
1994-09-29,3854.629883
1994-09-30,3843.189941
1994-10-03,3846.889893
1994-10-04,3801.129883
1994-10-05,3787.340088
1994-10-06,3775.560059
1994-10-07,3797.429932
1994-10-10,3821.320068
1994-10-11,3876.830078
1994-10-12,3875.149902
1994-10-13,3889.949951
1994-10-14,3910.469971
1994-10-17,3923.929932
1994-10-18,3917.540039
1994-10-19,3936.040039
1994-10-20,3911.149902
1994-10-21,3891.300049
1994-10-24,3855.300049
1994-10-25,3850.590088
1994-10-26,3848.22998
1994-10-27,3875.149902
1994-10-28,3930.659912
1994-10-31,3908.120117
1994-11-01,3863.370117
1994-11-02,3837.129883
1994-11-03,3845.879883
1994-11-04,3807.52002
1994-11-07,3808.870117
1994-11-08,3830.73999
1994-11-09,3831.75
1994-11-10,3821.98999
1994-11-11,3801.469971
1994-11-14,3829.72998
1994-11-15,3826.360107
1994-11-16,3845.199951
1994-11-17,3828.050049
1994-11-18,3815.26001
1994-11-21,3769.51001
1994-11-22,3677.98999
1994-11-23,3674.629883
1994-11-25,3708.27002
1994-11-28,3739.560059
1994-11-29,3738.550049
1994-11-30,3739.22998
1994-12-01,3700.870117
1994-12-02,3745.620117
1994-12-05,3741.919922
1994-12-06,3745.949951
1994-12-07,3735.52002
1994-12-08,3685.72998
1994-12-09,3691.110107
1994-12-12,3718.370117
1994-12-13,3715.340088
1994-12-14,3746.290039
1994-12-15,3765.469971
1994-12-16,3807.189941
1994-12-19,3790.699951
1994-12-20,3767.149902
1994-12-21,3801.800049
1994-12-22,3814.919922
1994-12-23,3833.429932
1994-12-27,3861.689941
1994-12-28,3839.48999
1994-12-29,3833.429932
1994-12-30,3834.439941
1995-01-03,3838.47998
1995-01-04,3857.649902
1995-01-05,3850.919922
1995-01-06,3867.409912
1995-01-09,3861.350098
1995-01-10,3866.73999
1995-01-11,3862.030029
1995-01-12,3859
1995-01-13,3908.459961
1995-01-16,3932.340088
1995-01-17,3930.659912
1995-01-18,3928.97998
1995-01-19,3882.209961
1995-01-20,3869.429932
1995-01-23,3867.409912
1995-01-24,3862.699951
1995-01-25,3871.449951
1995-01-26,3870.439941
1995-01-27,3857.98999
1995-01-30,3832.080078
1995-01-31,3843.860107
1995-02-01,3847.560059
1995-02-02,3870.77002
1995-02-03,3928.639893
1995-02-06,3937.72998
1995-02-07,3937.389893
1995-02-08,3935.370117
1995-02-09,3932.679932
1995-02-10,3939.070068
1995-02-13,3954.209961
1995-02-14,3958.25
1995-02-15,3986.169922
1995-02-16,3987.52002
1995-02-17,3953.540039
1995-02-21,3963.969971
1995-02-22,3973.050049
1995-02-23,4003.330078
1995-02-24,4011.73999
1995-02-27,3988.570068
1995-02-28,4011.050049
1995-03-01,3994.800049
1995-03-02,3979.929932
1995-03-03,3989.610107
1995-03-06,3997.560059
1995-03-07,3962.629883
1995-03-08,3979.22998
1995-03-09,3983.389893
1995-03-10,4035.610107
1995-03-13,4025.22998
1995-03-14,4048.75
1995-03-15,4038.370117
1995-03-16,4069.149902
1995-03-17,4073.649902
1995-03-20,4083.679932
1995-03-21,4072.610107
1995-03-22,4082.98999
1995-03-23,4087.830078
1995-03-24,4138.669922
1995-03-27,4157.339844
1995-03-28,4151.810059
1995-03-29,4160.799805
1995-03-30,4172.560059
1995-03-31,4157.689941
1995-04-03,4168.410156
1995-04-04,4201.609863
1995-04-05,4200.569824
1995-04-06,4205.410156
1995-04-07,4192.620117
1995-04-10,4198.149902
1995-04-11,4187.080078
1995-04-12,4197.810059
1995-04-13,4208.180176
1995-04-17,4195.379883
1995-04-18,4179.129883
1995-04-19,4207.490234
1995-04-20,4230.660156
1995-04-21,4270.089844
1995-04-24,4303.97998
1995-04-25,4300.169922
1995-04-26,4299.830078
1995-04-27,4314.700195
1995-04-28,4321.27002
1995-05-01,4316.080078
1995-05-02,4328.879883
1995-05-03,4373.149902
1995-05-04,4359.660156
1995-05-05,4343.399902
1995-05-08,4383.870117
1995-05-09,4390.779785
1995-05-10,4404.620117
1995-05-11,4411.189941
1995-05-12,4430.560059
1995-05-15,4437.470215
1995-05-16,4435.049805
1995-05-17,4422.600098
1995-05-18,4340.640137
1995-05-19,4341.330078
1995-05-22,4395.629883
1995-05-23,4436.439941
1995-05-24,4438.160156
1995-05-25,4412.22998
1995-05-26,4369
1995-05-30,4378.680176
1995-05-31,4465.140137
1995-06-01,4472.75
1995-06-02,4444.390137
1995-06-05,4476.549805
1995-06-06,4485.200195
1995-06-07,4462.029785
1995-06-08,4458.569824
1995-06-09,4423.990234
1995-06-12,4446.459961
1995-06-13,4484.509766
1995-06-14,4491.080078
1995-06-15,4496.27002
1995-06-16,4510.790039
1995-06-19,4553.680176
1995-06-20,4550.560059
1995-06-21,4547.100098
1995-06-22,4589.640137
1995-06-23,4585.839844
1995-06-26,4551.25
1995-06-27,4542.609863
1995-06-28,4556.790039
1995-06-29,4550.560059
1995-06-30,4556.100098
1995-07-03,4585.149902
1995-07-05,4615.22998
1995-07-06,4664
1995-07-07,4702.72998
1995-07-10,4702.390137
1995-07-11,4680.600098
1995-07-12,4727.290039
1995-07-13,4727.47998
1995-07-14,4708.819824
1995-07-17,4736.290039
1995-07-18,4686.279785
1995-07-19,4628.870117
1995-07-20,4641.549805
1995-07-21,4641.549805
1995-07-24,4668.669922
1995-07-25,4714.450195
1995-07-26,4707.060059
1995-07-27,4732.77002
1995-07-28,4715.509766
1995-07-31,4708.470215
1995-08-01,4700.370117
1995-08-02,4690.149902
1995-08-03,4701.419922
1995-08-04,4683.459961
1995-08-07,4693.319824
1995-08-08,4693.319824
1995-08-09,4671.490234
1995-08-10,4643.660156
1995-08-11,4618.299805
1995-08-14,4659.859863
1995-08-15,4640.839844
1995-08-16,4639.080078
1995-08-17,4630.629883
1995-08-18,4617.600098
1995-08-21,4614.779785
1995-08-22,4620.419922
1995-08-23,4584.850098
1995-08-24,4580.620117
1995-08-25,4601.399902
1995-08-28,4594
1995-08-29,4608.439941
1995-08-30,4604.600098
1995-08-31,4610.560059
1995-09-01,4647.540039
1995-09-05,4670.080078
1995-09-06,4683.810059
1995-09-07,4669.720215
1995-09-08,4700.720215
1995-09-11,4704.939941
1995-09-12,4747.209961
1995-09-13,4765.52002
1995-09-14,4801.799805
1995-09-15,4797.569824
1995-09-18,4780.410156
1995-09-19,4767.040039
1995-09-20,4792.689941
1995-09-21,4767.399902
1995-09-22,4764.149902
1995-09-25,4769.930176
1995-09-26,4765.600098
1995-09-27,4762.350098
1995-09-28,4787.640137
1995-09-29,4789.080078
1995-10-02,4761.259766
1995-10-03,4749.700195
1995-10-04,4740.669922
1995-10-05,4762.709961
1995-10-06,4769.209961
1995-10-09,4726.220215
1995-10-10,4720.799805
1995-10-11,4735.25
1995-10-12,4764.879883
1995-10-13,4793.779785
1995-10-16,4784.379883
1995-10-17,4795.950195
1995-10-18,4777.52002
1995-10-19,4802.450195
1995-10-20,4794.859863
1995-10-23,4755.47998
1995-10-24,4783.660156
1995-10-25,4753.680176
1995-10-26,4703.819824
1995-10-27,4741.75
1995-10-30,4756.569824
1995-10-31,4755.47998
1995-11-01,4766.680176
1995-11-02,4808.589844
1995-11-03,4825.569824
1995-11-06,4814.009766
1995-11-07,4797.029785
1995-11-08,4852.669922
1995-11-09,4864.22998
1995-11-10,4870.370117
1995-11-13,4872.899902
1995-11-14,4871.810059
1995-11-15,4922.75
1995-11-16,4969.359863
1995-11-17,4989.950195
1995-11-20,4983.089844
1995-11-21,5023.549805
1995-11-22,5041.609863
1995-11-24,5048.839844
1995-11-27,5070.879883
1995-11-28,5078.100098
1995-11-29,5105.560059
1995-11-30,5074.490234
1995-12-01,5087.129883
1995-12-04,5139.52002
1995-12-05,5177.450195
1995-12-06,5199.129883
1995-12-07,5159.390137
1995-12-08,5156.859863
1995-12-11,5184.319824
1995-12-12,5174.919922
1995-12-13,5216.470215
1995-12-14,5182.149902
1995-12-15,5176.72998
1995-12-18,5075.209961
1995-12-19,5109.890137
1995-12-20,5059.319824
